work_year,experience_level,employment_type,job_title,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,salary
2022,MI,FT,Computer Vision Engineer,INR,15897,IN,100,IN,M,1250000
2021,MI,FT,Data Analyst,INR,16904,IN,50,IN,L,1250000
2021,MI,FT,Data Scientist,INR,16904,IN,100,IN,S,1250000
2021,EN,FT,Big Data Engineer,INR,16228,IN,100,IN,L,1200000
2023,EX,FT,Data Scientist,NOK,100416,NO,50,NO,S,1050000
2023,SE,FT,Data Science Consultant,THB,29301,TH,50,TH,M,1000000
2023,MI,FT,Data Analyst,PHP,15680,PH,50,PH,L,866000
2023,MI,FT,Data Scientist,THB,24613,TH,50,TH,L,840000
2024,MI,FT,AI Architect,USD,800000,CA,100,CA,M,800000
2023,SE,FT,Data Scientist,NOK,76508,NO,50,NO,S,800000
2024,EN,FT,Data Analyst,USD,774000,MX,0,MX,M,774000
2024,SE,FT,Analytics Engineer,USD,750000,US,0,US,M,750000
2024,MI,FT,Machine Learning Scientist,USD,750000,US,0,US,M,750000
2024,SE,FT,Data Analyst,USD,750000,US,0,US,M,750000
2024,MI,FT,Machine Learning Scientist,USD,750000,US,0,US,M,750000
2023,MI,FT,Machine Learning Scientist,USD,750000,US,0,US,M,750000
2023,MI,FT,Machine Learning Engineer,USD,750000,US,0,US,M,750000
2023,MI,FT,Data Engineer,USD,750000,US,0,US,M,750000
2023,SE,FT,Data Scientist,USD,750000,US,0,US,M,750000
2024,MI,FT,Machine Learning Scientist,USD,720000,US,0,US,M,720000
2024,SE,FT,Data Scientist,USD,720000,US,100,US,M,720000
2024,MI,FT,Analytics Engineer,USD,720000,US,0,US,M,720000
2024,SE,FT,Analytics Engineer,USD,720000,US,0,US,M,720000
2024,SE,FT,Data Scientist,USD,720000,US,0,US,M,720000
2024,MI,FT,Research Engineer,USD,720000,US,0,US,M,720000
2024,MI,FT,Research Scientist,USD,720000,US,0,US,M,720000
2024,MI,FT,Research Engineer,USD,720000,US,0,US,M,720000
2020,SE,FT,Data Engineer,MXN,33511,MX,0,MX,S,720000
2023,SE,FT,Analytics Engineer,USD,700000,US,100,US,M,700000
2023,MI,FT,Analytics Engineer,USD,700000,US,100,US,M,700000
2023,MI,FT,Machine Learning Software Engineer,ZAR,34482,ZA,50,ZA,L,627000
2024,SE,FT,Research Scientist,USD,600000,US,0,US,M,600000
2024,SE,FT,Prompt Engineer,USD,600000,US,0,US,M,600000
2024,SE,FT,Research Engineer,USD,600000,US,0,US,M,600000
2024,SE,FT,Machine Learning Engineer,USD,550000,US,0,US,M,550000
2024,SE,FT,Machine Learning Engineer,USD,550000,US,0,US,M,550000
2024,MI,FT,ML Engineer,USD,530000,US,0,US,M,530000
2023,MI,FT,Data Scientist,HKD,65058,HK,0,HK,L,510000
2024,SE,FT,Research Scientist,USD,500000,US,100,US,M,500000
2024,SE,FT,Research Scientist,USD,500000,US,100,US,M,500000
2024,SE,FT,Research Scientist,USD,484000,US,100,US,M,484000
2023,EX,FT,Data Engineer,USD,465000,US,0,US,M,465000
2024,SE,FT,Research Engineer,USD,450000,US,0,US,M,450000
2020,MI,FT,Research Scientist,USD,450000,US,0,US,M,450000
2024,SE,FT,AI Architect,USD,449000,US,0,US,M,449000
2024,EX,FT,Head of Machine Learning,USD,448000,US,100,US,M,448000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,ML Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Scientist,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Scientist,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,MI,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Scientist,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Scientist,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Scientist,USD,440000,US,0,US,M,440000
2024,SE,FT,Research Engineer,USD,440000,US,0,US,M,440000
2024,EX,FT,Head of Machine Learning,USD,438000,US,0,US,M,438000
2021,MI,FT,Applied Machine Learning Scientist,USD,423000,US,50,US,L,423000
2024,SE,FT,Machine Learning Engineer,USD,418000,US,100,US,M,418000
2024,SE,FT,Machine Learning Engineer,USD,418000,US,100,US,M,418000
2021,EX,CT,Principal Data Scientist,USD,416000,US,100,US,S,416000
2024,SE,FT,Machine Learning Engineer,USD,414000,US,0,US,M,414000
2024,SE,FT,Applied Scientist,USD,414000,US,0,US,M,414000
2020,SE,FT,Data Scientist,USD,412000,US,100,US,L,412000
2023,SE,FT,Deep Learning Engineer,CAD,303387,CA,100,CA,M,409500
2024,EX,FT,Machine Learning Engineer,USD,408500,US,0,US,M,408500
2023,MI,FT,Research Scientist,USD,405000,US,0,US,L,405000
2022,SE,FT,Data Analytics Lead,USD,405000,US,100,US,L,405000
2024,SE,FT,Data Architect,USD,400000,US,100,US,M,400000
2024,MI,FT,AI Engineer,USD,400000,US,0,US,M,400000
2024,SE,FT,Data Analytics Lead,USD,398900,US,0,US,M,398900
2024,SE,FT,Data Analytics Lead,USD,398900,US,0,US,M,398900
2023,SE,FT,Machine Learning Engineer,USD,392000,US,0,US,M,392000
2024,SE,FT,Machine Learning Engineer,USD,386100,US,0,US,M,386100
2024,MI,FT,Data Infrastructure Engineer,USD,385000,US,0,US,M,385000
2024,SE,FT,AI Engineer,USD,385000,US,0,US,M,385000
2024,SE,FT,Data Engineer,USD,385000,US,0,US,M,385000
2024,MI,FT,Data Scientist,USD,385000,US,0,US,M,385000
2023,EX,FT,Data Engineer,USD,385000,US,0,US,M,385000
2023,SE,FT,Data Engineer,USD,385000,US,0,US,M,385000
2023,SE,FT,Research Engineer,USD,385000,US,0,US,M,385000
2023,SE,FT,Data Engineer,USD,385000,US,0,US,M,385000
2023,SE,FT,Data Infrastructure Engineer,USD,385000,US,0,US,M,385000
2023,SE,FT,ML Engineer,USD,385000,US,100,US,M,385000
2023,SE,FT,Data Analyst,USD,385000,US,0,US,M,385000
2023,SE,FT,ML Engineer,USD,383910,US,0,US,M,383910
2024,SE,FT,Research Scientist,USD,382320,US,0,US,M,382320
2024,EX,FT,Data Science,USD,381500,US,0,US,M,381500
2024,SE,FT,Data Architect,USD,381500,US,0,US,M,381500
2022,SE,FT,Applied Data Scientist,USD,380000,US,100,US,L,380000
2023,SE,FT,Data Architect,USD,376080,US,100,US,M,376080
2023,EX,FT,Director of Data Science,USD,375500,US,100,US,M,375500
2022,SE,FT,Machine Learning Software Engineer,USD,375000,US,100,US,M,375000
2022,SE,FT,Data Science Tech Lead,USD,375000,US,50,US,L,375000
2023,SE,FT,Research Scientist,USD,374000,US,0,US,M,374000
2024,EX,FT,Head of Machine Learning,USD,373000,US,100,US,M,373000
2023,SE,FT,AI Engineer,USD,372000,US,0,US,M,372000
2023,SE,FT,Machine Learning Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Machine Learning Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Data Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Data Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Engineer,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,Data Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,Research Scientist,USD,370000,US,0,US,M,370000
2023,SE,FT,ML Engineer,USD,365630,US,0,US,M,365630
2024,SE,FT,Machine Learning Engineer,USD,365100,US,0,US,M,365100
2024,SE,FT,Data Architect,USD,363000,US,0,US,M,363000
2024,SE,FT,Data Architect,USD,363000,US,0,US,M,363000
2024,SE,FT,Research Scientist,USD,360000,US,0,US,M,360000
2024,MI,FT,Research Engineer,USD,360000,US,0,US,M,360000
2023,SE,FT,AI Engineer,USD,360000,US,0,US,M,360000
2023,SE,FT,BI Analyst,TRY,18381,TR,100,TR,L,360000
2024,MI,FT,Research Scientist,USD,359400,US,100,US,M,359400
2024,MI,FT,Research Scientist,USD,359400,US,100,US,M,359400
2024,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2023,SE,FT,Data Scientist,USD,359170,US,0,US,M,359170
2024,SE,FT,ML Engineer,USD,357900,US,0,US,M,357900
2023,SE,FT,Data Architect,USD,354200,US,100,US,M,354200
2023,EX,FT,Director of Data Science,USD,353200,US,0,US,M,353200
2023,EX,FT,Director of Data Science,USD,353200,US,0,US,M,353200
2023,SE,FT,Computer Vision Engineer,USD,351000,US,0,US,M,351000
2023,EN,FT,Research Engineer,USD,350000,US,0,US,M,350000
2023,EX,FT,Data Engineer,USD,350000,US,100,US,M,350000
2023,SE,FT,AI Engineer,USD,350000,US,0,US,M,350000
2023,SE,FT,Data Lead,USD,350000,US,0,US,M,350000
2023,MI,FT,Analytics Engineer,GBP,430640,GB,0,GB,M,350000
2023,SE,FT,Applied Scientist,USD,350000,US,0,US,L,350000
2022,MI,FT,Data Analyst,GBP,430967,GB,0,GB,M,350000
2022,SE,FT,Data Scientist,USD,350000,US,100,US,M,350000
2022,SE,FT,Data Architect,USD,345600,US,0,US,M,345600
2024,SE,FT,Analytics Engineer,USD,345400,US,0,US,M,345400
2024,SE,FT,Machine Learning Engineer,USD,345400,US,0,US,M,345400
2024,SE,FT,Machine Learning Engineer,USD,345400,US,0,US,M,345400
2024,SE,FT,Research Scientist,USD,345000,US,0,US,M,345000
2023,SE,FT,Research Scientist,USD,345000,US,0,US,M,345000
2023,SE,FT,Computer Vision Engineer,USD,342810,US,0,US,M,342810
2024,SE,FT,Data Analytics Lead,USD,342400,US,0,US,M,342400
2023,SE,FT,Machine Learning Engineer,USD,342300,US,0,US,L,342300
2024,SE,FT,Machine Learning Engineer,USD,340000,US,0,US,M,340000
2024,SE,FT,Research Scientist,USD,340000,US,100,US,M,340000
2023,SE,FT,Machine Learning Engineer,USD,340000,US,0,US,M,340000
2023,MI,FT,Research Scientist,USD,340000,US,100,US,M,340000
2024,SE,FT,Research Engineer,USD,339250,US,0,US,M,339250
2024,SE,FT,Research Scientist,USD,337300,US,0,US,M,337300
2024,SE,FT,Research Scientist,USD,337300,US,0,US,M,337300
2024,SE,FT,Research Scientist,USD,337300,US,0,US,M,337300
2024,SE,FT,Research Scientist,USD,337300,US,0,US,M,337300
2023,EX,FT,Director of Data Science,USD,336400,US,0,US,M,336400
2023,SE,FT,ML Engineer,USD,336300,US,0,US,M,336300
2024,EX,FT,Data Engineer,USD,334075,CA,0,CA,M,334075
2024,SE,FT,Research Scientist,USD,333500,US,0,US,M,333500
2024,SE,FT,Machine Learning Engineer,USD,333500,US,0,US,M,333500
2024,SE,FT,Research Engineer,USD,333500,US,0,US,M,333500
2024,SE,FT,Research Engineer,USD,333500,US,0,US,M,333500
2023,SE,FT,Data Engineer,USD,333500,US,0,US,M,333500
2023,SE,FT,Machine Learning Engineer,USD,333500,US,0,US,M,333500
2023,EX,FT,Data Engineer,USD,333500,US,0,US,M,333500
2024,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2024,SE,FT,Data Engineer,USD,331640,US,0,US,M,331640
2024,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2024,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,ML Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Deep Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Data Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Data Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Deep Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2023,SE,FT,Machine Learning Engineer,USD,331640,US,0,US,M,331640
2024,SE,FT,Data Science,USD,331292,US,0,US,M,331292
2023,SE,FT,Machine Learning Engineer,USD,330000,US,100,US,M,330000
2023,EX,FT,Head of Machine Learning,USD,330000,US,0,US,M,330000
2023,SE,FT,Machine Learning Engineer,USD,330000,US,0,US,M,330000
2023,SE,FT,Machine Learning Engineer,USD,330000,US,0,US,M,330000
2023,SE,FT,AI Architect,USD,330000,US,0,US,M,330000
2023,SE,FT,AI Architect,USD,330000,US,0,US,M,330000
2023,SE,FT,AI Architect,USD,330000,US,0,US,M,330000
2023,SE,FT,AI Architect,USD,330000,US,0,US,M,330000
2023,EX,FT,Head of Data Science,USD,330000,US,0,US,M,330000
2023,SE,FT,Data Scientist,USD,329700,US,0,US,M,329700
2023,EX,FT,Head of Data,USD,329500,US,100,US,M,329500
2023,EX,FT,Head of Data,USD,329500,US,100,US,M,329500
2023,EX,FT,Head of Data,USD,329500,US,0,US,M,329500
2023,EX,FT,Head of Data,USD,329500,US,0,US,M,329500
2024,SE,FT,Analytics Engineer,USD,329200,CA,100,CA,M,329200
2023,SE,FT,Machine Learning Engineer,USD,328400,US,100,US,M,328400
2023,SE,FT,Machine Learning Engineer,USD,328133,US,0,US,M,328133
2024,MI,FT,Data Science Manager,USD,328000,US,0,US,M,328000
2023,SE,FT,Data Science Manager,USD,328000,US,0,US,M,328000
2024,EX,FT,Data Science,USD,326000,US,100,US,M,326000
2024,MI,FT,Data Analyst,USD,325000,US,0,US,M,325000
2023,SE,FT,Machine Learning Scientist,USD,325000,US,100,US,M,325000
2023,SE,FT,Analytics Engineering Manager,GBP,399880,GB,50,GB,L,325000
2020,EX,FT,Director of Data Science,USD,325000,US,100,US,L,325000
2024,SE,FT,Data Science,USD,324100,US,0,US,L,324100
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Data Science,USD,324000,US,100,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,ML Engineer,USD,324000,US,0,US,M,324000
2024,SE,FT,Data Scientist,USD,324000,US,0,US,M,324000
2024,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2023,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2023,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2023,SE,FT,ML Engineer,USD,324000,US,0,US,M,324000
2023,SE,FT,Data Scientist,USD,324000,US,0,US,M,324000
2023,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2023,SE,FT,Machine Learning Engineer,USD,324000,US,0,US,M,324000
2022,EX,FT,Data Engineer,USD,324000,US,100,US,M,324000
2024,EX,FT,Data Science,USD,323700,US,100,US,M,323700
2024,SE,FT,Research Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Research Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Machine Learning Engineer,USD,323300,US,0,US,M,323300
2023,SE,FT,Machine Learning Engineer,USD,323300,US,0,US,M,323300
2023,SE,FT,Data Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Data Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Machine Learning Engineer,USD,323300,US,0,US,M,323300
2023,SE,FT,Data Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Data Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Research Scientist,USD,323300,US,0,US,M,323300
2023,SE,FT,Machine Learning Engineer,USD,323300,US,0,US,M,323300
2024,SE,FT,Data Scientist,USD,322000,US,0,US,M,322000
2024,SE,FT,Machine Learning Engineer,USD,322000,US,100,US,M,322000
2024,SE,FT,Machine Learning Engineer,USD,322000,US,100,US,M,322000
2024,MI,FT,Data Product Owner,USD,321830,US,0,US,M,321830
2024,SE,FT,Research Scientist,USD,321000,US,0,US,M,321000
2024,SE,FT,Research Scientist,USD,321000,US,100,US,M,321000
2024,EX,FT,Business Intelligence,USD,320000,US,0,US,M,320000
2023,SE,FT,Machine Learning Engineer,USD,319000,US,0,US,M,319000
2023,SE,FT,Machine Learning Engineer,USD,319000,US,100,US,M,319000
2023,SE,FT,Machine Learning Engineer,USD,318300,US,100,US,M,318300
2023,SE,FT,Machine Learning Engineer,USD,318300,US,100,US,M,318300
2023,SE,FT,Machine Learning Engineer,USD,317070,US,0,US,M,317070
2023,SE,FT,Data Scientist,USD,317070,US,0,US,M,317070
2024,SE,FT,AI Architect,USD,317000,US,0,US,M,317000
2024,SE,FT,Data Engineer,USD,316900,US,0,US,M,316900
2023,SE,FT,Data Scientist,USD,316000,US,0,US,M,316000
2023,SE,FT,Data Scientist,USD,316000,US,0,US,M,316000
2023,SE,FT,Data Scientist,USD,316000,US,0,US,M,316000
2023,SE,FT,ML Engineer,USD,315850,US,0,US,M,315850
2023,SE,FT,ML Engineer,USD,315850,US,0,US,M,315850
2023,SE,FT,Machine Learning Engineer,USD,315300,US,100,US,M,315300
2024,SE,FT,Machine Learning Engineer,USD,315000,US,100,US,M,315000
2022,SE,FT,Data Engineer,USD,315000,US,100,US,M,315000
2024,SE,FT,Data Scientist,USD,314100,US,0,US,M,314100
2023,EX,FT,Head of Data Science,USD,314100,US,0,US,M,314100
2024,EX,FT,Data Engineer,USD,314000,CA,100,CA,M,314000
2024,SE,FT,Data Engineer,USD,313000,US,100,US,M,313000
2024,SE,FT,Data Engineer,USD,313000,US,100,US,M,313000
2024,EX,FT,Data Engineer,USD,312287,US,0,US,M,312287
2023,SE,FT,Machine Learning Engineer,USD,311000,US,0,US,M,311000
2024,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2023,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2023,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2023,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2023,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2023,SE,FT,Data Scientist,USD,310270,US,0,US,M,310270
2024,SE,FT,Machine Learning Engineer,USD,310000,US,0,US,M,310000
2024,SE,FT,Machine Learning Engineer,USD,310000,US,0,US,M,310000
2024,SE,FT,AI Engineer,USD,310000,US,0,US,M,310000
2024,SE,FT,Research Engineer,USD,310000,US,0,US,M,310000
2024,MI,FT,Data Scientist,USD,310000,US,0,US,M,310000
2023,MI,FT,Data Scientist,USD,310000,US,0,US,M,310000
2023,SE,FT,Data Architect,USD,310000,US,100,US,M,310000
2023,SE,FT,Research Engineer,USD,310000,US,0,US,M,310000
2023,SE,FT,Data Engineer,USD,310000,US,0,US,M,310000
2023,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2023,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2023,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2023,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2023,SE,FT,Data Engineer,USD,310000,US,0,US,M,310000
2022,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2022,EX,FT,Data Engineer,USD,310000,US,100,US,M,310000
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2023,SE,FT,Applied Scientist,USD,309400,US,0,US,L,309400
2024,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2024,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2024,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2023,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2023,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2023,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2023,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2023,SE,FT,Machine Learning Engineer,USD,309000,US,0,US,M,309000
2024,MI,FT,Data Engineer,USD,308000,US,0,US,M,308000
2023,SE,FT,Research Engineer,USD,308000,US,0,US,M,308000
2023,SE,FT,Data Scientist,USD,308000,US,0,US,M,308000
2023,SE,FT,Data Scientist,USD,308000,US,0,US,M,308000
2023,SE,FT,Research Engineer,USD,308000,US,0,US,M,308000
2024,SE,FT,Machine Learning Engineer,USD,307100,US,100,US,M,307100
2023,SE,FT,Data Scientist,USD,307100,US,0,US,M,307100
2023,SE,FT,Machine Learning Engineer,USD,306400,CA,0,CA,M,306400
2023,SE,FT,Data Architect,USD,306000,US,100,US,M,306000
2023,SE,FT,Research Engineer,USD,306000,US,0,US,M,306000
2023,SE,FT,Data Architect,USD,306000,US,100,US,M,306000
2023,SE,FT,Data Architect,USD,306000,US,100,US,M,306000
2023,SE,FT,Data Architect,USD,306000,US,100,US,M,306000
2023,SE,FT,Data Scientist,USD,305600,US,0,US,M,305600
2023,SE,FT,Machine Learning Engineer,USD,305600,US,0,US,M,305600
2023,SE,FT,Machine Learning Engineer,USD,305600,US,0,US,M,305600
2023,SE,FT,Data Scientist,USD,305600,US,0,US,M,305600
2023,SE,FT,AI Architect,USD,305100,US,100,US,M,305100
2023,SE,FT,ML Engineer,USD,305000,US,0,US,M,305000
2023,SE,FT,Data Engineer,USD,305000,US,100,US,M,305000
2024,SE,FT,Data Engineer,USD,304750,US,0,US,M,304750
2024,SE,FT,Machine Learning Engineer,USD,304750,US,0,US,M,304750
2023,SE,FT,Data Engineer,USD,304750,US,0,US,M,304750
